Book_No,Title,Sub_Title,Author,Translator,Class_3,Class_2,Class_1,Publisher,Year_1st_Pub,Year_This_Ed,Place,Edition_No,Pages,Keywords,ISBN,Language,Synopsis,Price,Notes,Title_XRef,Author_XRef,Medium,Size,Status,Check,Subject,
1305,Glossary of Buddhist Terms (A),In Four Languages,"Aik, Lim Teong (Comp)",,100,AIK,A0a1,Privately Published,1960,1960,Penang,,,,,English,English Chinese Pali Sanskrit,,,,,Book,,,,General Buddhism - R,
1307,Popular Dictionary of Buddhism (A),,"Humphreys, Christmas",,,HUM,A0a1,Arco Publications,1962,1962,London,,223,,,English,,,,,,Book,,,,General Buddhism - R,
L2800,Buddhist Directory (The),A Unique Reference to Europe's and the rest of the world's Buddhist Centres,"Lorie, Peter & Foakes, Julie",,,LOR,A0a1,New Leaf,1996,1996,London,1st,57,,0-7522-0595-1,English,,,,,,Book,,,,,
1323,Encyclopaedia of Buddhism Vol 1/1,A-Aca,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1961,1961,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1324,Encyclopaedia of Buddhism Vol 1/2,Acala-Akan,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1963,1963,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1325,Encyclopaedia of Buddhism Vol 1/3,Akankheyya Sutta-Anabhirati,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1964,1964,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1326,Encyclopaedia of Buddhism Vol 1/4,Anabhisamaya Sutta-Aoki Bunkyo,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1965,1965,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1327,Encyclopaedia of Buddhism Vol 2/1,Apa -Asita Devala,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1966,1966,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1328,Encyclopaedia of Buddhism Vol 2/2,Asita Devala - Atthaka Vagga,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1967,1967,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1329,Encyclopaedia of Buddhism Vol 2/3,Atthakula Sutta - Azuchi-Mondo,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1967,1967,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1330,Encyclopaedia of Buddhism Vol 2/4,Ba - Bharhut,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1968,1968,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1331,Encyclopaedia of Buddhism Vol 3/1,Bharini-deva - Bodaishinron-ko,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1971,1971,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1332,Encyclopaedia of Buddhism Vol 3/1,Bharini-deva - Bodaishinron-ko,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1971,1971,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1333,Encyclopaedia of Buddhism Vol 3/2,Bode - Budalavitthi,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1972,1972,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1334,Encyclopaedia of Buddhism Vol 3/3,Buddha - Burlingame,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1973,1973,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1335,Encyclopaedia of Buddhism Vol 3/3,Buddha - Burlingame,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1973,1973,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1336,Encyclopaedia of Buddhism Vol 3/4,Burma - Cauravidh,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1977,1977,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1337,Encyclopaedia of Buddhism Vol 4/1,Causality - Cittavisuddhi,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1979,1979,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1338,Encyclopaedia of Buddhism Vol 4/1,Causality - Cittavisuddhi,"Malalasekera, G. P.",,,MAL,A0a1,The Government of Ceylon,1979,1979,Ceylon (Sr,,,,,English,,,,,,Book,,,,General Buddhism - R,
1936,Glossary of Buddhist Terms (A),,"March, A. C. (Comp)",,,MAR,A0a1,Sri Satguru Publications,1937,1986,Delhi,,99,,81-7030-025-,English,,,,,,Book,,,,General Buddhism - R,
1312,Dictionary of Buddhism (A),Chinese-Sanskrit-English-Thai,Narisranuvatra (Ven) (Chairman),,,NAR,A0a1,The Chinese Buddhist Order of Sangha in Thailand,1976,1976,Bangkok,,830,,,English,,,,,,Book,,,,General Buddhism - R,
1306,Buddhist Dictionary,Manual of Buddhist terms and doctrines,Nyanatiloka,,100,NYA,A0a1,Island Hermitage Publications,1950,1950,Colombo,,189,,,English/Pali,,,,,,Book,,,,General Buddhism - R,
1687,Buddhist Dictionary,Manual of Buddhist terms and doctrines,Nyanatiloka,,,NYA,A0a1,Buddhist Publication Society,1952,1988,Kandy,,258,,955-24-0019-,English,A dictionary of Theravada Buddhism,,,,,Book,,,,General Buddhism - R,
5032,Buddhist Dictionary,Manual of Buddhist terms and doctrines,Nyanatiloka,Nyanaponika,,NYA,A0a1,Frewin &co,1952,1972,Colombo,3rd enlarged revised,220,,,English/Pali,,,,,,Book,,,,General Buddhism - R,
3213,Buddhist Directory (The),The Directory of Buddhist Groups and Centres and OTher Related Organisations in the United Kingdom,"Parsons, R.B.(Ed)",,,PAR,A0a1,The Buddhist Society,,2000,London,8th,139,,901032417,English,,,,,,Book,21,03/07/2001,,Directory of UK Budd,
3515,Historical Dictionary of Buddhism,,"Prebish, Charles S.",,,PRE,A0a1,Sri Satguru Publications,,1995,Delhi,,387,,8170304180,,,,,,,Book,,01/04/2004,,,
3527,General Index to the Subject Matter of the Sacred Books of the East,,"Winternitz, M. (Compiler)",,,WIN,A0a1,Motilal Banarsidass Publishers Pvt Ltd,1910,1995,Delhi,,688,,8120801504,,,,,,,Book,,07/04/2004,,,
1276,International Buddhist Directory 1985,,Wisdom Publications,,,WIS,A0a1,Wisdom,1985,,London,,191,,0-86171-025-8,English,,5.95,,,,Booklet,,,,,
M2639,Burning House (The),,Buddhist Publishing Group,,,BUD,A0a2,Buddhist Publishing Group,1985,,Leicster,,15,Lotus_Sutra parable,,English,Presentation of the famous parable as an illustration of the importance of the Great Way.,,,,,Book,,,,General Buddhism - S,
2510,Buddha and Divinity,(A Comparitive Study of Buddhist & Hindu Tantras) by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,26,Buddhism Tantra Hindu,,English,Booklet base on the 11th chapter of Chen's book 'Discriminations Between Tantric Buddhism an Tantric Hinduism',,,,,Book,,,,General Buddhism - S,
2441,Buddhist Principles Admonitory and Pragmatical,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1965,,Kalimpong,,40,Buddhist_Philosophy,,English,Booklet on Buddhist Philosophy,,,,,Book,,,,General Buddhism - S,
2443,Buddhist Principles Admonitory and Pragmatical,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1965,,Kalimpong,,40,,,English,,,,,,Book,,,,,
2454,Cartoons & Poems On Ahimsa Part Iii,Cartoons by Feng Tzu Kai English Calligraphy by Varya Translation and Chinese Calligraphy by,"Chen, C. M.",,CB,CHE,A0a2,The Adi-Buddha Mandala,1981,,Berkeley,,24,poetry,,English,Booklet of illustrated poems in Chinese and translation.,,,,,Book,,,,General Buddhism - S,
2514,Cartoons & Poems On Ahimsa Part Iii,Cartoons by Feng Tzu Kai English Calligraphy by Varya Translation and Chinese Calligraphy by,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1981,,Kalimpong,,24,,,English,,,,,,Book,,,,,
2434,Ch'An and Shiva's 112 Meditative Ways,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,30,Ch'an Zen Vajrayana,,English,Booklet on the practice of Zen in the process of following the Vajrayana path.,,,,,Book,,,,General Buddhism - S,
2435,Ch'An and Shiva'S 112 Meditative Ways,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,30,,,English,,,,,,Book,,,,,
2516,Ch'An Poems,Translated by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1975,,Berkeley,,23,poetry,,English,Booklet of Chinese poems in translation.,,,,,Book,,,,General Buddhism - S,
2372,Chart Of Buddhist Principles & Practices In Its Whole System,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,,,,English,,,,,,Book,,,,,
2511,Chart Of Buddhist Principles & Practices In It's Whole System (A),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,,Hinayana Mahayana Vajrayana,,English,Booklet containting a ststematised one sheet cahrt of the diverse elements in Buddhist practice.,,,,,Book,,,,General Buddhism - S,
2255,Chenian Activities In Photographs (1),Dedicated to Those Who Help Many,"Chen, C. M.",,CB,CHE,A0a2,Dharma Friends of Dr. Lin,,1993,El Cerrito,,25,,,English,a series of photo's in the life of a Ch'an teacher in ASmerica,,,,,Book,,,x,General Buddhism - S,
5207,Chenian Activities In Photographs (1),Dedicated to Those Who Help Many,"Chen, C. M.",,CB,CHE,A0a2,Dharma Friends of Dr. Lin,,1993,El Cerrito,,25,,,English,a series of photo's in the life of a Ch'an teacher in ASmerica,,,,,Book,,,x,General Buddhism - S,
2635,Chenian Activities In Photographs (3),Under the Guidance of the Buddhist Yogi C. M. Chen,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1986,1986,California,1st,13,,,English,,,,,,Booklet,,,,,
2513,Chenian Commentary on Tantric Ritual of Avalokitesvara White and Red Vol. One,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1972,,Kalimpong,,52,Tantra Vajrayana visualisation,,English,Introduction to visualisation practice and purpose.,,,,,Book,,,x,General Buddhism - S,
2517,Chunpolongo,His Personal Teaching of Realisation,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1968,,Kalimpong,,34,Tantra Vajrayana,,English,Booklet about the historical founder of the Hsonpa Kagyu school of Tibetan Buddhism.,,,,,Book,,,,General Buddhism - S,
2518,Comparative Study of Maoism and Buddhism,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,,,Berkeley,,35,Marxism Communism China,,English,Booklet addressing any confusion between Buddhism and Chinese communism.,,,,,Book,,,,General Buddhism - S,
2519,Confession and Repentance,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,,,Berkeley,,24,,,English,Booklet on the practice of confession in Buddhism.,,,,,Book,,,,General Buddhism - S,
2520,Crucifixion (The),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,19,Christianity Jesus,,English,Booklet about how Christian doctrine fits in with Buddhist practice.,,,,,Book,,,,General Buddhism - S,
2521,Dharmapada (The),Edited By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,37,Suttas Sutras Scripture,,English,Booklet of verses from the Dhammapada.,,,,,Book,,,,General Buddhism - S,
2313,Dharmpada (The),In a Practical Order Part I...Edited by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,37,,,English,,,,,,Book,,,,,
2522,Dragon King Sutra Stanzas,Edited by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1973,,Berkeley,,21,Sutras,,English,translation of part of a text from the Chinese Tipitaka.,,,,,Book,,,,General Buddhism - S,
2523,Dropakula,His Personal Teaching of Perfect Liberation by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1967,,Kalimpong,,46,,,English,Booklet about a Burmese sage.,,,,,Book,,,,General Buddhism - S,
2525,Essential Teachings of the Adi-Buddha Part I (The),Summarized and Translated by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1974,,Berkeley,,42,Tantra,,English,Booklet introducing a Tantric practice.,,,,,Book,,,,General Buddhism - S,
2526,Essential Teachings of the Adi-Buddha Part II (The),Summarized and Translated by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1974,,Berkeley,,34,Tantra,,English,Booklet introducing a Tantric practice.,,,,,Book,,,,General Buddhism - S,
2524,Essentials of the Ch'An School (The),(A Lecture in the U.S.A.) by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1976,,Berkeley,,26,ch'an,,English,Introduction to Ch'an philosophy.,,,,,Book,,,,General Buddhism - S,
2452,Final Goal Buddhist & Hindu,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,21,Hinduism Christianity God Heaven,,English,Booklet on the aims of Buddhist practice in relation to oTher religions specifically Hindu and Christian.,,,,,Book,,,,General Buddhism - S,
2527,Final Goal Buddhist & Hindu,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,21,Hinduism Christianity God Heaven,,English,Booklet on the aims of Buddhist practice in relation to oTher religions specifically hindu and Christian.,,,,,Book,,,,General Buddhism - S,
2293,Four Foundations of Tibetan Tantra,A Talk of...Written Down by Rev. Bhikkhu Kantipala,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,43,Tantra prostration offering confession,,English,Introduction to Tibetan Tantrism,,,,,Book,,,,General Buddhism - S,
2528,Four Foundations of Tibetan Tantra,A talk of...Written Down by Rev. Bhikkhu Kantipalo,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,42,tantra Prostration confession offering,,English,Introduction to Tibetan Tantrism.,,,,,Book,,,,General Buddhism - S,
2529,Frank and Sincere Talk on Ch'An (A),By the Buddhist Yogi,"Chen, C. M.",Hsu - Professor,CB,CHE,A0a2,Chen's Booklets,1961,,Kalimpong,,45,meditation,,English,Booklet dealing with the methods of ch'an/zen and meditation practice.,,,,,Book,,,,General Buddhism - S,
2420,Hinayana Meditations,A Talk of the Buddhist Yogi...Written Down by Rev. Bhikkhu Khantipala,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,,,Kalimpong,,35,Hinayana meditation,,English,Booklet discussing the Hinayana 'stage' of buddhist practice.,,,,,Book,,,,General Buddhism - S,
2429,Hinayana Meditations,A Talk of the Buddhist Yogi...Written Down by Rev. Bhikkhu Khantipala,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,,,Kalimpong,,35,,,English,,,,,,Book,,,,,
2530,How to be the Universal in Buddhist Sense,A Lecture Given by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,,,Berkeley,,22,Buddhist_cosmology,,English,Booklet dealing with Buddhist cosmology.,,,,,Book,,,,General Buddhism - S,
2533,How to Get Real Freedom,A Lecture by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1969,,Berkeley,,29,,,English,Booklet on the meaning of freedom and ways to achieve it in Buddhism.,,,,,Book,,,,General Buddhism - S,
2250,How To Keep Loving In Marriage,,"Chen, C. M.",,CB,CHE,A0a2,Dharma Friends of Dr. Lin,,1993,El Cerrito,,36,Marriage ethics sex,,English,Booklet by a close disciple of Mr C.M. Chen under his guidance,,,,,Book,,,,,
2431,How to Tranform Human Body into Buddha Body Part II,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1968,,Kalimpong,,44,,,English,,,,,,Book,,,,,
2430,How to Transform Human Body into Buddha Body Part II,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1968,,Kalimpong,,44,Tantra Yoga Vajrayana Trikaya,,English,Booklet on self-transformation through Vajrayana practices.,,,,,Book,,,,General Buddhism - S,
2532,How to Transmute Human Consciousness to Buddha's Wisdom,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1969,,Kalimpong,,53,wisdom,,English,Booklet on the development of wisdom.,,,,,Book,,,,General Buddhism - S,
2450,Hymns to Tara,By Chandragomin Revised and Explained by,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,24,Tantra Tara,,English,"Booklet about Chandragomin's ""Flower Garland"" Hymn to Tara",,,,,Book,,,,General Buddhism - S,
2534,Hymns to Tara,By Chandragomin Revised and Explained by,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,24,,,English,Translation of a hymn with a commentary.,,,,,Book,,,,General Buddhism - S,
2292,Karmapa Khyenno,Vajrayana Meditations...A talk of the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,42,Vajrayana meditation Tantra,,English,Booklet on various Vajrayana Meditation Practices,,,,,Book,,,,General Buddhism - S,
2337,Karmapa Khyenno,Vajrayana Meditations...A talk of the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,42,Vajrayana meditation Tantra,,English,Booklet on various Vajrayana meditation practices.,,,,,Book,,,,General Buddhism - S,
2285,Mahayana Silas,Compiled by the Buddhist Yogi...,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,32,Mahayana ethics,,English,Booklet on Mahayanist ethics,,,,,Book,,,,General Buddhism - S,
2286,Mahayana Silas,Compiled by the Buddhist Yogi...,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,32,,,English,,,,,,Book,,,,,
2535,Naropa His Personal Teaching of Obedience,Edited by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1966,,Kalimpong,,33,,,English,Booklet on the famous Tibetan Guru and on having faith in one's teacher.,,,,,Book,,,,General Buddhism - S,
2536,Non-Death Yoga,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1974,,Berkeley,,16,,,English,Booklet dealing with aspects of Buddhist philosophy.,,,,,Book,,,,General Buddhism - S,
2537,Offspring Ch'An Its Portraits Koans and Poems,Written by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1974,,Berkeley,,31,poetry,,English,Ch'an wisdom with poems and illustrations of famous Ch'an monks.,,,,,Book,,,,General Buddhism - S,
2290,Philosophic Background,Buddhist and Hindu,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1968,,Kalimpong,,40,Philosophy Religion Hindu,,English,Booklet comparing & contrasting Buddhist-Hindu philosophy,,,,,Book,,,,General Buddhism - S,
2538,Philosophic Background,Buddhist and Hindu,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1968,,Kalimpong,,40,Philosophy religion Hindu,,English,Booklet comparing & contrasting Buddhist-Hindu philosophy.,,,,,Book,,,,General Buddhism - S,
2539,Poems on Ahimsa (Or on Vegetarianism),Translated From the Chinese Sages Works by,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,,,Berkeley,,17,Poetry,,English,Translations of Chinese poetry.,,,,,Book,,,,General Buddhism - S,
2540,Pollution of Human Thought (The),(One of the Lectures in the U.S.A.),"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,,,Berkeley,,39,,,English,Lecture on the wealth of delusion to which humankind is subject.,,,,,Book,,,,General Buddhism - S,
2541,Practice Of Pure-Land School Simplified Part 1 (The),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1966,,Kalimpong,,32,Sukhavati,,English,Introduction to the practice of faith in rebirth in a pure-land.,,,,,Book,,,,General Buddhism - S,
2583,Practice Of Pure-Land School Simplified Part 2 (The),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1966,,Kalimpong,,32,Sukhavati meditation visualisation,,English,Booklet on the approach to and practice of meditation on febirth in a pureland.,,,,,Book,,,,General Buddhism,
2543,Praising to All the Gods,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,,,Berkeley,,20,Ritual Devotion,,English,Booklet of devotional verses.,,,,,Book,,,,General Buddhism - S,
2544,Remembering My Ma,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1981,,Berkeley,,22,poetry,,English,Booklet of poetry celebrating Mr. Chen's moTher in Chinese and English script.,,,,,Book,,,,General Buddhism - S,
2308,Renunciation,Buddhist and Hindu...By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,26,Hindu christianity conversion Zen,,English,Booklet on the subject of 'going forth'.,,,,,Book,,,,General Buddhism - S,
2312,Renunciation,Buddhist and Hindu...By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1964,,Kalimpong,,26,Hindu christianity conversion Zen,,English,Booklet on the subject of 'going forth'.,,,,,Book,,,,General Buddhism - S,
2546,Ritual of Fire Sacrifice to Kurukula (A),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1975,,Berkeley,,22,Ritual devotion,,English,Booklet outlining a ritual practice.,,,,,Book,,,,General Buddhism - S,
2460,Ritual of Fire Sacrifice to the Five Saints of Christianity (A),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1981,,Berkeley,,19,Christianity Tantra Ritual,,English,Booklet of devotional practice based on a synTheseis of Christianity and Tantric practice.,,,,,Book,,,,General Buddhism - S,
2548,Ritual of Fire Sacrifice to the Five Saints of Christianity (A),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1981,,Berkeley,,19,,,English,,,,,,Book,,,,,
2547,Ritual of Fire Sacrifice to the God of Wealth (Vaisaravana) (A),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Adi-Buddha Mandala,1974,,Berkeley,,24,Ritual devotion,,English,Booklet outlining a ritual practice.,,,,,Book,,,,General Buddhism - S,
2406,Safe Guide to the Practitioner of Hevajra Tantra (A),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,,,Kalimpong,,32,Vajrayana Tantra Meditation visualisation,,English,Booklet introducing the safe practice of the visualisation of wrathful images.,,,,,Book,,,,General Buddhism - S,
2409,Safe Guide To the Practitioner Of Hevajra Tantra (A),By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,,,Kalimpong,,32,,,English,,,,,,Book,,,,,
2396,Samatha,A Talk of the Buddhist Yogi...Written Down by the Rev. Bhikkhu Khantipala,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,39,Hinayana meditation samatha samapatti dhyana,,English,Booklet on the neccessity of developing samatha practice.,,,,,Book,,,,General Buddhism - S,
2397,Samatha,A Talk of the Buddhist Yogi...Written Down by the Rev. Bhikkhu Khantipala,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1963,,Kalimpong,,39,,,English,,,,,,Book,,,,,
2451,Selected Han-Shan Poems for Hippie Reading,Translated and Classified by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1970,,Kalimpong,,48,Han-Shan poetry,,English,Booklet of Han-Shan poetry.,,,,,Book,,,,General Buddhism - S,
2551,Selected Han-Shan Poems for Hippie Reading,Translated and Classified by the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1970,,Kalimpong,,48,,,English,,,,,,Book,,,,,
2554,Short Dictionary of Buddhist Hybrid Pali (A),Edited by Mr.Tick Twon Under the Direction of the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1969,,Kalimpong,,33,Pali,,English,Buooklet of some Buddhist Pali words and phrases.,,,,,Book,,,,General Buddhism - S,
2553,Short Dictionary of Buddhist Hybrid Sanskrit  Part I (A),Edited by Mr. Nanda Kuma Under the Direction of the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1970,,Kalimpong,,48,sanskrit,,English,Buooklet of some Buddhist Sanskrit words and phrases H-Y,,,,,Book,,,,General Buddhism - S,
2552,Short Dictionary of Buddhist Hybrid Sanskrit  Part II  (A),Edited by Mr. Nanda Kuma Under the Direction of the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1970,,Kalimpong,,68,,,English,,,,,,Book,,,,,
2449,Short Dictionary of Buddhist Hybrid Sanskrit  Part II (A),Edited by Mr. Nanda Kuma Under the Direction of the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1970,,Kalimpong,,68,sanskrit,,English,Booklet of some Buddhist Sanskrit words and phrases H-Y,,,,,Book,,,,General Buddhism - S,
2555,Short Dictionary of Tibetan - English - Buddhist Terms Exoteric & Esoteric Part I (A),Edited by Prof. Dorjee Tsering Under the Direction of the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1970,,Kalimpong,,48,Tibetan_Language,,English,Booklet of Tibetan phrases translated directly from Their script into English.,,,,,Book,,,,General Buddhism - S,
2328,Some Suggestions To the Buddhist World,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1968,,Kalimpong,,42,,,English,,,,,,Book,,,,,
2556,Some Suggestions to the Buddhist World,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1968,,Kalimpong,,42,Politics Hinayana Mahayana Vajrayana,,English,Booklet manifesto for a Buddhist future in a global Theatre.,,,,,Book,,,,General Buddhism,
2558,Still More Please Part I,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1966,,Kalimpong,,35,Christianity devotion offering,,English,Booklet discussing aspects of Christian practice and Theology in relation to Buddhism.,,,,,Book,,,,General Buddhism,
2444,Still More Please Part II,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1967,,Kalimpong,,45,Christianity Prayer,,English,Booklet discussing prayer and the Christian concept of resurection in relation to Buddhism.,,,,,Book,,,,General Buddhism - S,
2445,Still More Please Part II,By the Buddhist Yogi,"Chen, C. M.",,CB,CHE,A0a2,Chen's Booklets,1967,,Kalimpong,,45,,,English,,,,,,Book,,,,,
2542,Subtle Discrimination Between the Practices of Sunyata in Hinayana Mahayana & Vajrayana (The),In Chinese by the Buddhist Yogi,"Chen, C. M.",Jivaka - Mr.,CB,CHE,A0a2,Chen's Booklets,1972,,Kalimpong,,48,Buddhist_philosophy,,English,Booklet discussing the doctrine of shunyata in Buddhist philosophy.,,,,,Book,,,,General Buddhism - S,
